"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"2169","ARFGEF2",2.22767303805099,12.9258340768406,8.97301319041643,2.20949288310646e-10,2.99424380365806e-09,13.2319302272007
"1011","APRT",1.57636439060233,17.6998987062807,8.95557940895965,2.31377382190915e-10,3.11764495546387e-09,13.0769266155431
"1297","FBN1",-1.82087135715214,14.6470647936019,-8.91465946736057,2.5786814215568e-10,3.45484704092667e-09,13.0174333601366
"598","FKBP9",-1.08116712015815,17.6844181515494,-8.88984249905845,2.75419336926496e-10,3.66914574278349e-09,12.8997082451856
"757","EIF3I",-0.755612939393391,17.0057159881908,-8.87076210547496,2.89737265335273e-10,3.83820489696951e-09,12.8743338293292
"606","COPS4",-1.15770740980814,15.8466787200894,-8.86026581004348,2.9793457881599e-10,3.92474713322964e-09,12.8422730787807
"412","NUCB2",-1.2259265473506,17.1771158762103,-8.85350558563135,3.03338784568455e-10,3.97373807784676e-09,12.7836908479671
"2813","DOCK6",1.82104308841745,13.6404592843042,8.76486783701272,3.84173476650306e-10,4.9501697155269e-09,12.6177235577632
"1462","RETSAT",1.3289311024154,14.6336002813946,8.77072227132817,3.78213706770237e-10,4.90015340969351e-09,12.6030236597648
"1102","SET",-1.22477521288506,15.4041792159359,-8.77308695740095,3.75833238054685e-10,4.89621422835882e-09,12.6021902696667
"1859","PRKG1",-1.24385029748644,14.8402428641624,-8.75842943184771,3.90838196064046e-10,5.00867644738599e-09,12.5611839702021
"568","BZW1",-1.3036598569875,16.4568441224012,-8.73979927110488,4.10794001090721e-10,5.23595813282118e-09,12.5292946595446
"2989","MRPL17",-2.9374871538665,15.3100995805357,-8.7048482113948,4.51075898071069e-10,5.68789822273573e-09,12.427778484091
"385","NONO",-1.00008413934971,17.5832197766272,-8.71302795251494,4.41301878970404e-10,5.59456898178608e-09,12.4121323871827
"1516","NAA15",-1.09073032115866,15.3485955274961,-8.67288198863096,4.91433894880624e-10,6.13122287898684e-09,12.3197493079363
"1020","VAMP2",0.803748810660398,18.4410173240865,8.67407495854298,4.89863654669579e-10,6.13122287898684e-09,12.3062254633363
"109","KPNB1",0.785657594315402,19.1205427187648,8.66068444774631,5.07785825407457e-10,6.30188934900413e-09,12.284514016222
"116","NCL",-0.963851183220114,18.4473273926529,-8.65181182645301,5.20027406521307e-10,6.42002421244629e-09,12.259289215227
"674","SEC24D",0.937851497510917,17.0599266215443,8.63244777483867,5.47797748845854e-10,6.72764110301314e-09,12.1961693477823
"1578","USP15",1.53837447867536,14.8649830439871,8.60198448420361,5.94575227683279e-10,7.26429215998535e-09,12.1262963621732
"327","PPIB",0.583188438683119,20.4277723700684,8.56489778591365,6.57052080271756e-10,7.98623095505567e-09,12.0247809725055
"425","RPL9",-0.725805036787732,18.4351841038815,-8.50111747602127,7.80552821130248e-10,9.43868488320577e-09,11.8485368942868
"340","DPP4",2.3886026764741,16.2665120867604,8.45684056169463,8.79958106243034e-10,1.05864347679647e-08,11.7307496616024
"442","CAPZA1",-0.591936797119266,18.011327387791,-8.41463715184617,9.86695866204006e-10,1.18102987437007e-08,11.6048339895677
"842","BAG2",-1.94971628069639,14.95082533091,-8.40550771855137,1.01146711322981e-09,1.20456538030096e-08,11.5939876496862
"620","PCMT1",-0.732737576368633,17.5862190243878,-8.3887354263638,1.05863688158304e-09,1.25440490792603e-08,11.5512049950571
"2565","VPS41",2.94561119280376,15.8763355490007,8.36207696842886,1.13826052408732e-09,1.34200915789895e-08,11.4898843820803
"695","GOT2",1.72389833529036,16.456161009432,8.35576365404172,1.15799302610797e-09,1.35848137092667e-08,11.4525096115984
"919","NUP155",-1.41132583278938,14.8075871155537,-8.3395638567051,1.21023280860003e-09,1.41273711023706e-08,11.4195855957978
"1160","COPS2",1.37205100567568,15.613615893995,8.31904110205397,1.27987023476191e-09,1.47937941841597e-08,11.402733887
